NAME,TAXONNO,TAXON,NATIVE,HYBRID,ID,Major_group,Family,Genus_hybrid_marker,Genus,Species_hybrid_marker,Infraspecific_rank,Infraspecific_epithet,Authorship,Taxonomic_status_in_TPL,Nomenclatural_status_original,Confidence_level,Source,Source_id,IPNI_id,Publication,Collation,Page,Date,SppID
Odontites vernus,3434,0920  1361,N,,,,,,,,,,,,,,,,,,,,,
Oenanthe aquatica,3438,0920  1362,N,,kew-2391299,A,Apiaceae,,Oenanthe,,,,(L.) Poir.,Accepted,,M,WCSP (in review),529860,845226-1,Encycl.,4: 530,,1798,18154
Oenanthe crocata,7235,0920  1363,N,,kew-2391320,A,Apiaceae,,Oenanthe,,,,L.,Accepted,,M,WCSP (in review),529881,845253-1,Sp. Pl.,254,,1753,18157
Oenanthe fistulosa,3439,0920  1364,N,,kew-2391314,A,Apiaceae,,Oenanthe,,,,L.,Accepted,,M,WCSP (in review),529875,845277-1,Sp. Pl.,254,,1753,18158
Oenanthe fluviatilis,6987,0920  1365,N,,kew-2391313,A,Apiaceae,,Oenanthe,,,,(Bab.) Coleman,Accepted,,M,WCSP (in review),529874,,Ann. Mag. Nat. Hist.,13: 188,,1844,18159
Oenanthe lachenalii,3440,0920  1366,N,,kew-2390065,A,Apiaceae,,Oenanthe,,,,C.C.Gmel.,Accepted,,M,WCSP (in review),528630,845312-1,Fl. Bad.,1: 678,,1805,18164
Oenanthe pimpinelloides,3441,0920  1367,N,,kew-2390741,A,Apiaceae,,Oenanthe,,,,L.,Accepted,,M,WCSP (in review),529304,845351-1,Sp. Pl.,255,,1753,18173
Oenanthe silaifolia,3442,0920  1368,N,,kew-2390773,A,Apiaceae,,Oenanthe,,,,M.Bieb.,Accepted,,M,WCSP (in review),529336,845379-1,Fl. Taur.-Caucas.,3: 232,,1819,18178
Oenothera,5694,0920  4444,AN,,,,,,,,,,,,,,,,,,,,,
Olearia macrodonta,3459,0920  2620,AN,,gcc-96594,A,Compositae,,Olearia,,,,Baker,Accepted,,M,TICA,CEC24989-21E4-4C43-B333-91E9AAA5D077,234862-1,,,604,1884,92910
Omphalodes verna,3462,0920  1374,AN,,kew-2390279,A,Boraginaceae,,Omphalodes,,,,Moench,Accepted,,M,WCSP (in review),528843,119508-1,Methodus,420,,1794,44650
Onobrychis viciifolia,3463,0920  1375,NA,,ild-5130,A,Leguminosae,,Onobrychis,,,,Scop.,Accepted,,H,ILDIS,5130,,,,,,187290
Ononis reclinata,3465,0920  1376,N,,ild-7989,A,Leguminosae,,Ononis,,,,L.,Accepted,,H,ILDIS,7989,,,,,,187340
Ononis repens,7238,0920  1377,N,,,,,,,,,,,,,,,,,,,,,
Ononis spinosa,3467,0920  1378,N,,ild-29429,A,Leguminosae,,Ononis,,,,L.,Accepted,,H,ILDIS,29429,,,,,,187348
Onopordum acanthium,3468,0920  1379,AR,,gcc-90654,A,Compositae,,Onopordum,,,,L.,Accepted,,M,TICA,BEB13DE0-7A1D-4C37-8B53-8491CB85A262,235234-1,Sp. Pl.,,827,1753,93054
Ophioglossum azoricum,3469,0910  1381.1,N,,tro-26610432,P,Ophioglossaceae,,Ophioglossum,,,,C. Presl,Accepted,,M,TRO,26610432,17167260-1,Suppl. Tent. Pterid.,49,49,1845,227210
Ophioglossum lusitanicum,7239,0910  1380,N,,tro-26602159,P,Ophioglossaceae,,Ophioglossum,,,,L.,Accepted,,M,TRO,26602159,17167680-1,Sp. Pl.,2: 1063,1063,1753,227225
Ophioglossum vulgatum,3471,0910  1381.2,N,,tro-26602167,P,Ophioglossaceae,,Ophioglossum,,,,L.,Accepted,,M,TRO,26602167,304390-2,Sp. Pl.,2: 1062–1063,1062,1753,227241
Ophrys apifera,3475,0920  1382,N,,kew-140745,A,Orchidaceae,,Ophrys,,,,Huds.,Accepted,,H,WCSP,140745,647746-1,Fl. Angl.,340,,1762,247096
Ophrys fuciflora,3480,0920  1383,N,,kew-141118,A,Orchidaceae,,Ophrys,,,,(F.W.Schmidt) Moench,Accepted,,H,WCSP,141118,647902-1,Suppl. Meth.,311,,1802,247138
Ophrys insectifera,3481,0920  1384,N,,kew-141277,A,Orchidaceae,,Ophrys,,,,L.,Accepted,,H,WCSP,141277,647942-1,Sp. Pl.,948,,1753,247145
Ophrys sphegodes,3484,0920  1385,N,,kew-141753,A,Orchidaceae,,Ophrys,,,,Mill.,Accepted,,H,WCSP,141753,648128-1,Gard. Dict. ed. 8,8,,1768,247220
Orchis laxiflora,3489,0920  1386,N,,,,,,,,,,,,,,,,,,,,,
Orchis mascula,3491,0920  1387,N,,kew-142857,A,Orchidaceae,,Orchis,,,,(L.) L.,Accepted,,H,WCSP,142857,648853-1,Fl. Suec.,ed. 2: 310,,1755,247285
Orchis militaris,3492,0920  1388,N,,kew-142900,A,Orchidaceae,,Orchis,,,,L.,Accepted,,H,WCSP,142900,648875-1,Sp. Pl.,941,,1753,247286
Orchis morio,3494,0920  1389,N,,,,,,,,,,,,,,,,,,,,,
Orchis purpurea,3496,0920  1390,N,,kew-143136,A,Orchidaceae,,Orchis,,,,Huds.,Accepted,,H,WCSP,143136,649036-1,Fl. Angl.,334,,1762,247300
Orchis simia,3498,0920  1391,N,,kew-143249,A,Orchidaceae,,Orchis,,,,Lam.,Accepted,,H,WCSP,143249,649128-1,Fl. Franç.,3: 507,,1779,247306
Orchis ustulata,3500,0920  1392,N,,,,,,,,,,,,,,,,,,,,,
Oreopteris limbosperma,3503,0910  2051,N,,tro-26610998,P,Thelypteridaceae,,Oreopteris,,,,Holub,Accepted,,M,TRO,26610998,17446120-1,Folia Geobot. Phytotax.,4: 48,48,1969,339632
Origanum vulgare,3504,0920  1393,N,,kew-143954,A,Lamiaceae,,Origanum,,,,L.,Accepted,,H,WCSP,143954,453395-1,Sp. Pl.,590,,1753,161251
Ornithogalum angustifolium,10023,0920  1396,AN,,,,,,,,,,,,,,,,,,,,,
Ornithogalum nutans,3505,0920  1394,AN,,kew-283769,A,Asparagaceae,,Ornithogalum,,,,L.,Accepted,,H,WCSP,283769,539382-1,Sp. Pl.,308,,1753,35687
Ornithogalum pyrenaicum,7243,0920  1395,N,,kew-283468,A,Asparagaceae,,Ornithogalum,,,,L.,Accepted,,H,WCSP,283468,539466-1,Sp. Pl.,306,,1753,35710
Ornithopus perpusillus,3506,0920  1397,N,,ild-5205,A,Leguminosae,,Ornithopus,,,,L.,Accepted,,H,ILDIS,5205,,,,,,187541
Ornithopus pinnatus,3507,0920  1398,N,,ild-5206,A,Leguminosae,,Ornithopus,,,,(Mill.) Druce,Accepted,,H,ILDIS,5206,,,,,,187542
